RANK,PLAYER,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
1,Luka Dončić,LAL,64,35.8,10.8,22.8,0.476,4.0,10.8,0.366,7.9,10.1,0.780,0.6,7.1,7.7,8.3,1.6,0.5,4.0,33.5,33.5
2,Shai Gilgeous-Alexander,OKC,68,33.2,10.8,19.4,0.553,1.7,4.4,0.386,7.9,9.0,0.879,0.6,3.7,4.3,6.6,1.4,0.8,2.2,31.1,32.2
3,Anthony Edwards,MIN,61,35.0,9.9,20.2,0.489,3.4,8.4,0.399,5.7,7.2,0.796,0.6,4.4,5.0,3.7,1.4,0.8,2.9,28.8,25.0
4,Jaylen Brown,BOS,71,34.4,10.4,21.7,0.477,2.0,5.7,0.347,6.0,7.5,0.795,1.1,5.8,6.9,5.1,1.0,0.4,3.6,28.7,25.6
5,Tyrese Maxey,PHI,70,38.0,9.9,21.4,0.462,3.1,8.6,0.367,5.3,6.0,0.892,0.3,3.8,4.1,6.6,1.9,0.8,2.4,28.3,27.0
6,Kawhi Leonard,LAC,65,32.1,9.8,19.4,0.505,2.6,6.8,0.387,5.7,6.4,0.892,1.1,5.3,6.4,3.6,1.9,0.4,2.0,27.9,27.8
7,Donovan Mitchell,CLE,70,33.5,9.7,20.0,0.483,3.2,8.8,0.364,5.3,6.1,0.865,0.7,3.8,4.5,5.7,1.5,0.3,2.8,27.9,25.8
8,Nikola Jokić,DEN,65,34.8,9.9,17.4,0.569,1.7,4.5,0.380,6.1,7.4,0.831,3.0,9.9,12.9,10.7,1.4,0.8,3.7,27.7,41.0
9,Devin Booker,PHX,64,33.5,8.5,18.7,0.456,1.9,5.8,0.330,7.1,8.1,0.873,0.8,3.1,3.9,6.0,0.8,0.3,3.1,26.1,22.7
10,Jalen Brunson,NYK,74,35.0,9.3,19.9,0.467,2.6,7.1,0.369,4.8,5.7,0.841,0.4,2.9,3.3,6.8,0.8,0.1,2.4,26.0,23.2
11,Kevin Durant,HOU,78,36.4,9.2,17.6,0.520,2.4,5.8,0.413,5.2,6.0,0.874,0.5,4.9,5.5,4.8,0.8,0.9,3.2,26.0,25.5
12,Jamal Murray,DEN,75,35.4,8.8,18.1,0.483,3.3,7.5,0.435,4.6,5.2,0.887,0.4,4.0,4.4,7.1,0.9,0.4,2.3,25.4,26.0
13,Victor Wembanyama,SAS,64,29.2,8.6,16.9,0.512,1.9,5.5,0.349,5.8,7.0,0.827,2.0,9.5,11.5,3.1,1.0,3.1,2.4,25.0,31.8
14,Deni Avdija,POR,66,33.3,7.5,16.1,0.462,1.9,6.0,0.318,7.4,9.2,0.802,1.1,5.8,6.9,6.7,0.8,0.6,3.8,24.2,24.8
15,Pascal Siakam,IND,62,33.2,9.0,18.6,0.484,1.7,4.7,0.358,4.2,6.1,0.693,1.4,5.2,6.6,3.8,1.1,0.4,2.2,24.0,22.2
16,Cade Cunningham,DET,64,33.9,8.6,18.6,0.461,2.0,5.7,0.342,4.8,6.0,0.812,0.9,4.7,5.5,9.9,1.4,0.8,3.7,23.9,26.8
17,James Harden,CLE,70,34.8,7.0,16.0,0.434,3.1,8.2,0.375,6.6,7.5,0.884,0.6,4.2,4.8,8.0,1.1,0.4,3.5,23.6,24.4
18,Jalen Johnson,ATL,72,35.2,8.3,17.1,0.489,1.7,4.7,0.352,4.2,5.3,0.788,1.4,8.9,10.3,7.9,1.2,0.4,3.4,22.5,29.1
19,Paolo Banchero,ORL,72,34.8,7.3,16.0,0.459,1.2,3.8,0.305,6.3,8.2,0.775,1.2,7.2,8.4,5.2,0.7,0.6,3.1,22.2,23.5
20,Norman Powell,MIA,58,29.6,7.3,15.4,0.470,2.7,7.1,0.380,4.5,5.5,0.827,0.4,3.1,3.5,2.5,1.1,0.2,1.9,21.7,18.0
21,Trey Murphy III,NOP,66,35.5,7.5,15.9,0.470,3.2,8.6,0.379,3.3,3.7,0.886,1.0,4.8,5.7,3.8,1.5,0.4,1.8,21.5,22.2
22,Brandon Ingram,TOR,77,33.8,8.0,16.7,0.477,1.8,4.6,0.382,3.8,4.6,0.820,0.8,4.8,5.6,3.7,0.8,0.7,2.4,21.5,20.2
23,Julius Randle,MIN,79,33.0,7.3,15.3,0.481,1.4,4.4,0.315,5.0,6.3,0.802,1.7,5.1,6.7,5.0,1.1,0.2,2.7,21.1,22.3
24,Cooper Flagg,DAL,70,33.5,8.0,17.1,0.468,1.0,3.5,0.295,4.0,4.9,0.827,1.2,5.4,6.7,4.5,1.2,0.9,2.3,21.0,22.1
25,Zion Williamson,NOP,62,29.7,7.8,13.0,0.600,0.0,0.1,0.250,5.4,7.5,0.716,2.0,3.7,5.7,3.2,1.0,0.5,2.0,21.0,22.0
26,LeBron James,LAL,60,33.2,7.9,15.3,0.515,1.3,4.1,0.317,3.9,5.3,0.737,0.7,5.4,6.1,7.2,1.2,0.6,3.0,20.9,24.2
27,Nickeil Alexander-Walker,ATL,78,33.4,7.0,15.3,0.459,3.2,8.1,0.399,3.6,3.9,0.902,0.7,2.8,3.4,3.7,1.3,0.5,2.1,20.8,19.0
28,Alperen Sengun,HOU,72,33.3,8.1,15.6,0.519,0.6,1.8,0.305,3.6,5.2,0.691,3.0,5.9,8.9,6.2,1.2,1.1,3.2,20.4,25.4
29,Brandon Miller,CHA,65,30.3,7.0,16.1,0.435,3.1,8.2,0.383,3.1,3.4,0.892,1.1,3.8,4.9,3.3,1.0,0.7,2.5,20.2,18.2
30,Bam Adebayo,MIA,73,32.4,6.9,15.7,0.442,1.7,5.5,0.318,4.5,5.8,0.778,2.0,8.0,10.0,3.2,1.2,0.7,1.6,20.1,23.5
